sigma,sign,type,m,src,isValidation,id,graphtype,offset,answer,error,unsignedError,index
0.15,1,quad,0.2,data/Exp3/quad/line/S0.15m0.2.png,,1,line,0.06,0.075,-0.01,0.01,43
0.1,-1,line,0.2,data/Exp3/line/line/S0.1m-0.2.png,,1,line,0.2,0.195,0.01,0.01,45
0.2,1,quad,0.2,data/Exp3/quad/line/S0.2m0.2.png,,1,line,-0.04,-0.045,0,0,46
0.05,1,trig,0.4,data/Exp3/trig/area/S0.05m0.4.png,,1,area,-0.18,-0.195,0.02,0.02,47
0.15,-1,line,0.1,data/Exp3/line/line/S0.15m-0.1.png,,1,line,0.1,0.13,-0.03,0.03,48
0.15,1,line,0.1,data/Exp3/line/line/S0.15m0.1.png,,1,line,0.25,0.235,0.02,0.02,49
0.05,-1,quad,0.2,data/Exp3/quad/scatter/S0.05m-0.2.png,,1,scatter,-0.05,-0.05,0,0,50
0.2,1,trig,0.4,data/Exp3/trig/scatter/S0.2m0.4.png,,1,scatter,0.02,0.085,-0.07,0.07,51
0.1,-1,quad,0.2,data/Exp3/quad/area/S0.1m-0.2.png,,1,area,-0.14,-0.175,0.03,0.03,52
0.1,-1,trig,0.4,data/Exp3/trig/area/S0.1m-0.4.png,,1,area,-0.13,-0.15,0.02,0.02,53
0.2,1,quad,0.4,data/Exp3/quad/line/S0.2m0.4.png,,1,line,-0.03,0.035,-0.07,0.07,54
0.15,-1,quad,0.8,data/Exp3/quad/scatter/S0.15m-0.8.png,,1,scatter,0.23,0.195,0.04,0.04,55
0.15,-1,trig,0.4,data/Exp3/trig/scatter/S0.15m-0.4.png,,1,scatter,0.02,0.03,-0.01,0.01,56
0.1,1,line,0.2,data/Exp3/line/scatter/S0.1m0.2.png,,1,scatter,0.15,0.14,0.01,0.01,57
0.2,-1,trig,0.8,data/Exp3/trig/scatter/S0.2m-0.8.png,,1,scatter,0.14,0.12,0.02,0.02,59
0.05,-1,line,0.4,data/Exp3/line/scatter/S0.05m-0.4.png,,1,scatter,0.19,0.175,0.02,0.02,60
0.15,1,trig,0.8,data/Exp3/trig/line/S0.15m0.8.png,,1,line,-0.18,-0.145,-0.04,0.04,61
0.2,-1,line,0.4,data/Exp3/line/area/S0.2m-0.4.png,,1,area,0.08,-0.07,0.15,0.15,62
0.15,1,line,0.2,data/Exp3/line/area/S0.15m0.2.png,,1,area,-0.03,-0.13,0.1,0.1,63
0.1,1,trig,0.2,data/Exp3/trig/area/S0.1m0.2.png,,1,area,0.25,0.12,0.13,0.13,64
0.05,1,line,0.4,data/Exp3/line/scatter/S0.05m0.4.png,,1,scatter,0.11,0.105,0.01,0.01,65
