sigma,sign,type,m,src,isValidation,id,graphtype,offset,answer,error,unsignedError,index
0.15,-1,line,0.8,data/Exp3/line/scatter/S0.15m-0.8.png,,19,scatter,0.13,0.12,0.01,0.01,31
0.15,-1,trig,0.4,data/Exp3/trig/area/S0.15m-0.4.png,,19,area,0.04,0.015,0.03,0.03,32
0.1,-1,trig,0.2,data/Exp3/trig/scatter/S0.1m-0.2.png,,19,scatter,-0.01,-0.01,0,0,33
0.15,1,quad,0.8,data/Exp3/quad/scatter/S0.15m0.8.png,,19,scatter,-0.2,-0.16,-0.04,0.04,34
0.05,-1,trig,0.2,data/Exp3/trig/scatter/S0.05m-0.2.png,,19,scatter,0.24,0.235,0.01,0.01,35
0.05,1,quad,0.1,data/Exp3/quad/scatter/S0.05m0.1.png,,19,scatter,0.14,0.135,0.01,0.01,36
0.15,1,trig,0.4,data/Exp3/trig/line/S0.15m0.4.png,,19,line,-0.22,-0.205,-0.02,0.02,37
0.2,1,trig,0.4,data/Exp3/trig/line/S0.2m0.4.png,,19,line,0.01,-0.01,0.02,0.02,38
0.15,1,line,0.8,data/Exp3/line/line/S0.15m0.8.png,,19,line,-0.08,-0.06,-0.02,0.02,39
0.15,-1,quad,0.1,data/Exp3/quad/area/S0.15m-0.1.png,,19,area,-0.13,-0.165,0.04,0.04,40
0.15,1,quad,0.4,data/Exp3/quad/area/S0.15m0.4.png,,19,area,-0.06,-0.09,0.03,0.03,41
0.1,-1,quad,0.2,data/Exp3/quad/area/S0.1m-0.2.png,,19,area,0.03,-0.01,0.04,0.04,43
0.1,-1,trig,0.8,data/Exp3/trig/scatter/S0.1m-0.8.png,,19,scatter,-0.11,-0.135,0.03,0.03,44
0.15,1,line,0.1,data/Exp3/line/line/S0.15m0.1.png,,19,line,-0.08,-0.085,0.01,0.01,42
0.2,1,trig,0.4,data/Exp3/trig/scatter/S0.2m0.4.png,,19,scatter,0.02,-0.01,0.03,0.03,45
0.05,1,trig,0.2,data/Exp3/trig/area/S0.05m0.2.png,,19,area,-0.18,-0.175,-0.01,0.01,46
0.05,-1,trig,0.1,data/Exp3/trig/line/S0.05m-0.1.png,,19,line,0.25,0.25,0,0,47
0.2,1,trig,0.1,data/Exp3/trig/line/S0.2m0.1.png,,19,line,0.01,-0.005,0.01,0.01,48
0.2,1,quad,0.2,data/Exp3/quad/scatter/S0.2m0.2.png,,19,scatter,0.03,0.01,0.02,0.02,49
0.2,1,line,0.8,data/Exp3/line/scatter/S0.2m0.8.png,,19,scatter,-0.18,-0.15,-0.03,0.03,50
0.15,1,trig,0.2,data/Exp3/trig/area/S0.15m0.2.png,,19,area,-0.18,-0.205,0.02,0.02,51
0.15,-1,quad,0.2,data/Exp3/quad/scatter/S0.15m-0.2.png,,19,scatter,-0.09,-0.06,-0.03,0.03,52
0.2,1,trig,0.8,data/Exp3/trig/area/S0.2m0.8.png,,19,area,0.23,0.155,0.08,0.08,53
0.1,-1,quad,0.4,data/Exp3/quad/line/S0.1m-0.4.png,,19,line,0.22,0.195,0.02,0.02,54
0.05,-1,quad,0.2,data/Exp3/quad/area/S0.05m-0.2.png,,19,area,0.23,0.225,0.01,0.01,55
0.15,1,line,0.4,data/Exp3/line/scatter/S0.15m0.4.png,,19,scatter,0.24,0.24,0,0,56
0.15,-1,trig,0.2,data/Exp3/trig/line/S0.15m-0.2.png,,19,line,-0.01,-0.01,0,0,57
0.2,-1,trig,0.1,data/Exp3/trig/area/S0.2m-0.1.png,,19,area,-0.23,-0.295,0.06,0.06,58
0.2,1,trig,0.4,data/Exp3/trig/area/S0.2m0.4.png,,19,area,-0.1,-0.18,0.08,0.08,59
0.05,-1,line,0.4,data/Exp3/line/scatter/S0.05m-0.4.png,,19,scatter,0.24,0.225,0.01,0.01,60
0.1,1,trig,0.1,data/Exp3/trig/line/S0.1m0.1.png,,19,line,-0.1,-0.115,0.01,0.01,61
0.05,1,quad,0.4,data/Exp3/quad/area/S0.05m0.4.png,,19,area,-0.09,-0.095,0.01,0.01,62
0.1,1,line,0.2,data/Exp3/line/line/S0.1m0.2.png,,19,line,-0.2,-0.205,0,0,63
0.05,-1,quad,0.8,data/Exp3/quad/scatter/S0.05m-0.8.png,,19,scatter,0.23,0.215,0.02,0.02,64
0.15,-1,trig,0.8,data/Exp3/trig/line/S0.15m-0.8.png,,19,line,0.03,0.025,0,0,65
0.2,1,line,0.1,data/Exp3/line/area/S0.2m0.1.png,,19,area,-0.07,-0.16,0.09,0.09,66
0.05,1,trig,0.4,data/Exp3/trig/scatter/S0.05m0.4.png,,19,scatter,-0.09,-0.095,0.01,0.01,67
0.05,-1,line,0.4,data/Exp3/line/area/S0.05m-0.4.png,,19,area,-0.06,-0.07,0.01,0.01,68
0.05,-1,quad,0.8,data/Exp3/quad/line/S0.05m-0.8.png,,19,line,0.16,0.155,0.01,0.01,69
0.05,1,line,0.1,data/Exp3/line/line/S0.05m0.1.png,,19,line,-0.2,-0.2,0,0,70
0.2,-1,quad,0.4,data/Exp3/quad/area/S0.2m-0.4.png,,19,area,0.04,-0.055,0.1,0.1,71
0.1,1,trig,0.8,data/Exp3/trig/scatter/S0.1m0.8.png,,19,scatter,0.22,0.2,0.02,0.02,72
0.1,-1,quad,0.1,data/Exp3/quad/area/S0.1m-0.1.png,,19,area,0.05,0.04,0.01,0.01,73
0.15,1,line,0.1,data/Exp3/line/scatter/S0.15m0.1.png,,19,scatter,0.04,0.025,0.01,0.01,74
0.15,-1,quad,0.4,data/Exp3/quad/scatter/S0.15m-0.4.png,,19,scatter,0.18,0.165,0.01,0.01,75
0.2,-1,trig,0.1,data/Exp3/trig/scatter/S0.2m-0.1.png,,19,scatter,0.08,0.09,-0.01,0.01,76
0.15,-1,quad,0.8,data/Exp3/quad/area/S0.15m-0.8.png,,19,area,-0.22,-0.25,0.03,0.03,77
0.2,-1,trig,0.8,data/Exp3/trig/area/S0.2m-0.8.png,,19,area,0.03,-0.01,0.04,0.04,78
0.1,-1,line,0.8,data/Exp3/line/area/S0.1m-0.8.png,,19,area,0.09,0.04,0.05,0.05,79
0.15,1,line,0.1,data/Exp3/line/area/S0.15m0.1.png,,19,area,0.13,0.1,0.03,0.03,80
0.1,1,quad,0.1,data/Exp3/quad/scatter/S0.1m0.1.png,,19,scatter,0.19,0.17,0.02,0.02,81
0.05,-1,quad,0.1,data/Exp3/quad/area/S0.05m-0.1.png,,19,area,0.01,0,0.01,0.01,82
0.2,1,line,0.1,data/Exp3/line/scatter/S0.2m0.1.png,,19,scatter,0.04,0.025,0.01,0.01,83
0.1,-1,line,0.8,data/Exp3/line/line/S0.1m-0.8.png,,19,line,0.06,0.02,0.04,0.04,84
0.1,1,quad,0.2,data/Exp3/quad/area/S0.1m0.2.png,,19,area,-0.14,-0.16,0.02,0.02,86
0.2,-1,line,0.2,data/Exp3/line/line/S0.2m-0.2.png,,19,line,0.14,0.135,0.01,0.01,88
0.05,1,trig,0.8,data/Exp3/trig/line/S0.05m0.8.png,,19,line,-0.06,-0.06,0,0,89
0.1,-1,trig,0.4,data/Exp3/trig/scatter/S0.1m-0.4.png,,19,scatter,0.07,0.055,0.02,0.02,90
0.1,1,line,0.4,data/Exp3/line/area/S0.1m0.4.png,,19,area,0.06,0.05,0.01,0.01,91
0.2,-1,line,0.8,data/Exp3/line/scatter/S0.2m-0.8.png,,19,scatter,0.01,0.005,0.01,0.01,92
0.1,1,quad,0.4,data/Exp3/quad/scatter/S0.1m0.4.png,,19,scatter,0.1,0.09,0.01,0.01,94
0.2,-1,trig,0.8,data/Exp3/trig/line/S0.2m-0.8.png,,19,line,-0.12,-0.17,0.05,0.05,95
0.1,1,trig,0.1,data/Exp3/trig/area/S0.1m0.1.png,,19,area,-0.14,-0.165,0.02,0.02,97
0.15,1,line,0.8,data/Exp3/line/area/S0.15m0.8.png,,19,area,0.07,0.03,0.04,0.04,98
0.2,-1,trig,0.2,data/Exp3/trig/scatter/S0.2m-0.2.png,,19,scatter,-0.24,-0.235,-0.01,0.01,99
0.1,1,line,0.8,data/Exp3/line/scatter/S0.1m0.8.png,,20,scatter,0.08,0.085,-0.01,0.01,0
0.05,1,quad,0.1,data/Exp3/quad/line/S0.05m0.1.png,,20,line,-0.15,-0.15,0,0,1
0.1,1,trig,0.4,data/Exp3/trig/area/S0.1m0.4.png,,20,area,0.15,0.165,-0.02,0.02,2
0.15,-1,line,0.2,data/Exp3/line/line/S0.15m-0.2.png,,20,line,0.23,0.24,-0.01,0.01,3
0.15,-1,trig,0.4,data/Exp3/trig/scatter/S0.15m-0.4.png,,20,scatter,0.14,0.14,0,0,4
0.05,-1,quad,0.1,data/Exp3/quad/area/S0.05m-0.1.png,,20,area,0.13,0.12,0.01,0.01,5
0.2,-1,line,0.1,data/Exp3/line/area/S0.2m-0.1.png,,20,area,-0.1,-0.13,0.03,0.03,6
0.15,1,quad,0.4,data/Exp3/quad/line/S0.15m0.4.png,,20,line,-0.13,-0.125,-0.01,0.01,7
0.15,-1,line,0.2,data/Exp3/line/area/S0.15m-0.2.png,,20,area,0.13,0.12,0.01,0.01,8
0.05,1,line,0.2,data/Exp3/line/line/S0.05m0.2.png,,20,line,0.09,0.095,-0.01,0.01,9
0.2,1,quad,0.8,data/Exp3/quad/scatter/S0.2m0.8.png,,20,scatter,0,-0.01,0.01,0.01,10
0.2,-1,line,0.2,data/Exp3/line/area/S0.2m-0.2.png,,20,area,-0.07,-0.085,0.01,0.01,12
0.2,-1,quad,0.4,data/Exp3/quad/line/S0.2m-0.4.png,,20,line,-0.05,-0.015,-0.04,0.04,13
0.15,1,quad,0.8,data/Exp3/quad/line/S0.15m0.8.png,,20,line,0.2,0.175,0.03,0.03,14
0.15,1,line,0.4,data/Exp3/line/area/S0.15m0.4.png,,20,area,-0.07,-0.075,0,0,15
0.05,-1,quad,0.8,data/Exp3/quad/scatter/S0.05m-0.8.png,,20,scatter,0.07,0.07,0,0,16
0.1,-1,quad,0.1,data/Exp3/quad/scatter/S0.1m-0.1.png,,20,scatter,0.07,0.075,0,0,17
0.2,1,line,0.4,data/Exp3/line/line/S0.2m0.4.png,,20,line,-0.13,-0.095,-0.04,0.04,18
0.1,1,quad,0.2,data/Exp3/quad/line/S0.1m0.2.png,,20,line,0.1,0.08,0.02,0.02,19
0.05,1,line,0.4,data/Exp3/line/scatter/S0.05m0.4.png,,20,scatter,-0.23,-0.23,0,0,20
0.05,1,trig,0.2,data/Exp3/trig/scatter/S0.05m0.2.png,,20,scatter,-0.07,-0.07,0,0,21
0.15,1,line,0.1,data/Exp3/line/area/S0.15m0.1.png,,20,area,-0.05,-0.06,0.01,0.01,22
0.1,1,quad,0.4,data/Exp3/quad/scatter/S0.1m0.4.png,,20,scatter,0.17,0.165,0.01,0.01,23
0.05,1,quad,0.4,data/Exp3/quad/line/S0.05m0.4.png,,20,line,0.18,0.165,0.01,0.01,24
0.05,1,line,0.8,data/Exp3/line/area/S0.05m0.8.png,,20,area,0.09,0.09,0,0,25
0.05,1,trig,0.8,data/Exp3/trig/scatter/S0.05m0.8.png,,20,scatter,0,-0.01,0.01,0.01,26
0.2,1,line,0.1,data/Exp3/line/line/S0.2m0.1.png,,20,line,-0.08,-0.085,0.01,0.01,27
0.1,1,trig,0.2,data/Exp3/trig/scatter/S0.1m0.2.png,,20,scatter,0.16,0.14,0.02,0.02,28
0.2,-1,quad,0.8,data/Exp3/quad/scatter/S0.2m-0.8.png,,20,scatter,0,-0.01,0.01,0.01,29
0.2,1,trig,0.8,data/Exp3/trig/line/S0.2m0.8.png,,20,line,0.04,0.04,0,0,30
0.2,1,line,0.1,data/Exp3/line/area/S0.2m0.1.png,,20,area,-0.04,-0.06,0.02,0.02,31
0.1,1,quad,0.8,data/Exp3/quad/area/S0.1m0.8.png,,20,area,-0.12,-0.13,0.01,0.01,32
0.1,1,trig,0.1,data/Exp3/trig/area/S0.1m0.1.png,,20,area,-0.22,-0.27,0.05,0.05,33
0.15,1,quad,0.2,data/Exp3/quad/area/S0.15m0.2.png,,20,area,0.2,0.15,0.05,0.05,34
0.15,1,line,0.4,data/Exp3/line/scatter/S0.15m0.4.png,,20,scatter,-0.05,-0.085,0.04,0.04,35
0.2,-1,quad,0.2,data/Exp3/quad/line/S0.2m-0.2.png,,20,line,-0.21,-0.21,0,0,36
0.1,-1,line,0.2,data/Exp3/line/line/S0.1m-0.2.png,,20,line,0.15,0.165,-0.02,0.02,37
0.1,-1,trig,0.8,data/Exp3/trig/line/S0.1m-0.8.png,,20,line,0.07,0.065,0.01,0.01,38
0.15,-1,trig,0.4,data/Exp3/trig/area/S0.15m-0.4.png,,20,area,0.04,0.005,0.04,0.04,39
0.1,-1,trig,0.4,data/Exp3/trig/line/S0.1m-0.4.png,,20,line,0.1,0.065,0.04,0.04,40
0.1,1,line,0.1,data/Exp3/line/line/S0.1m0.1.png,,20,line,0.1,0.085,0.01,0.01,41
0.15,-1,trig,0.1,data/Exp3/trig/scatter/S0.15m-0.1.png,,20,scatter,-0.07,-0.09,0.02,0.02,43
0.05,-1,quad,0.4,data/Exp3/quad/scatter/S0.05m-0.4.png,,20,scatter,-0.17,-0.165,-0.01,0.01,42
0.05,-1,quad,0.2,data/Exp3/quad/area/S0.05m-0.2.png,,20,area,0.03,0.04,-0.01,0.01,44
0.2,-1,line,0.1,data/Exp3/line/line/S0.2m-0.1.png,,20,line,-0.16,-0.145,-0.02,0.02,45
0.2,1,quad,0.8,data/Exp3/quad/area/S0.2m0.8.png,,20,area,0.04,-0.04,0.08,0.08,46
0.2,-1,trig,0.4,data/Exp3/trig/scatter/S0.2m-0.4.png,,20,scatter,-0.17,-0.17,0,0,47
0.2,1,line,0.4,data/Exp3/line/scatter/S0.2m0.4.png,,20,scatter,0.01,-0.03,0.04,0.04,48
0.15,-1,trig,0.4,data/Exp3/trig/line/S0.15m-0.4.png,,20,line,0.08,0.055,0.03,0.03,49
0.2,-1,trig,0.1,data/Exp3/trig/scatter/S0.2m-0.1.png,,20,scatter,-0.09,-0.105,0.01,0.01,50
0.05,1,quad,0.4,data/Exp3/quad/area/S0.05m0.4.png,,20,area,0,0.01,-0.01,0.01,51
0.05,1,trig,0.2,data/Exp3/trig/area/S0.05m0.2.png,,20,area,-0.08,-0.065,-0.01,0.01,52
0.05,-1,line,0.2,data/Exp3/line/line/S0.05m-0.2.png,,20,line,0.06,0.045,0.01,0.01,53
0.05,-1,line,0.2,data/Exp3/line/scatter/S0.05m-0.2.png,,20,scatter,0.15,0.145,0.01,0.01,54
0.05,-1,quad,0.4,data/Exp3/quad/line/S0.05m-0.4.png,,20,line,-0.07,-0.06,-0.01,0.01,55
0.05,-1,line,0.1,data/Exp3/line/line/S0.05m-0.1.png,,20,line,0.07,0.065,0.01,0.01,56
0.05,1,quad,0.8,data/Exp3/quad/line/S0.05m0.8.png,,20,line,0.02,0.015,0.01,0.01,57
0.15,-1,trig,0.8,data/Exp3/trig/area/S0.15m-0.8.png,,20,area,0.2,0.185,0.02,0.02,58
0.2,1,quad,0.1,data/Exp3/quad/scatter/S0.2m0.1.png,,20,scatter,-0.07,-0.07,0,0,59
0.2,1,quad,0.2,data/Exp3/quad/scatter/S0.2m0.2.png,,20,scatter,0.07,0.06,0.01,0.01,61
0.15,-1,trig,0.1,data/Exp3/trig/area/S0.15m-0.1.png,,20,area,0.04,0.025,0.01,0.01,62
0.05,-1,trig,0.8,data/Exp3/trig/line/S0.05m-0.8.png,,20,line,0.12,0.12,0,0,63
0.15,-1,trig,0.8,data/Exp3/trig/line/S0.15m-0.8.png,,20,line,0.08,0.055,0.03,0.03,64
0.15,1,quad,0.8,data/Exp3/quad/scatter/S0.15m0.8.png,,20,scatter,0.02,-0.005,0.03,0.03,65
0.05,-1,line,0.8,data/Exp3/line/area/S0.05m-0.8.png,,20,area,0.13,0.12,0.01,0.01,66
0.05,1,quad,0.1,data/Exp3/quad/scatter/S0.05m0.1.png,,20,scatter,-0.01,-0.01,0,0,67
0.1,-1,trig,0.8,data/Exp3/trig/scatter/S0.1m-0.8.png,,20,scatter,0.03,0.02,0.01,0.01,68
0.05,-1,trig,0.4,data/Exp3/trig/area/S0.05m-0.4.png,,20,area,-0.02,-0.015,-0.01,0.01,69
0.1,-1,line,0.4,data/Exp3/line/area/S0.1m-0.4.png,,20,area,0.1,0.055,0.05,0.05,70
0.15,-1,line,0.1,data/Exp3/line/line/S0.15m-0.1.png,,20,line,0.06,0.055,0,0,71
0.2,1,quad,0.2,data/Exp3/quad/line/S0.2m0.2.png,,20,line,-0.06,-0.045,-0.01,0.01,72
0.1,1,trig,0.4,data/Exp3/trig/line/S0.1m0.4.png,,20,line,0.08,0.08,0,0,74
0.2,1,trig,0.4,data/Exp3/trig/area/S0.2m0.4.png,,20,area,-0.22,-0.235,0.01,0.01,75
0.1,-1,trig,0.8,data/Exp3/trig/area/S0.1m-0.8.png,,20,area,-0.08,-0.09,0.01,0.01,76
0.15,-1,trig,0.8,data/Exp3/trig/scatter/S0.15m-0.8.png,,20,scatter,0.14,0.105,0.04,0.04,77
0.2,1,trig,0.2,data/Exp3/trig/area/S0.2m0.2.png,,20,area,0.2,0.165,0.04,0.04,78
0.05,1,quad,0.1,data/Exp3/quad/area/S0.05m0.1.png,,20,area,-0.16,-0.165,0.01,0.01,79
0.15,1,line,0.8,data/Exp3/line/area/S0.15m0.8.png,,20,area,-0.2,-0.22,0.02,0.02,80
0.1,1,quad,0.1,data/Exp3/quad/scatter/S0.1m0.1.png,,20,scatter,0.21,0.195,0.01,0.01,81
0.2,-1,quad,0.8,data/Exp3/quad/area/S0.2m-0.8.png,,20,area,-0.19,-0.275,0.09,0.09,82
0.15,1,line,0.1,data/Exp3/line/scatter/S0.15m0.1.png,,20,scatter,0.08,0.05,0.03,0.03,83
0.2,-1,quad,0.8,data/Exp3/quad/line/S0.2m-0.8.png,,20,line,0.24,0.21,0.03,0.03,84
0.15,-1,trig,0.2,data/Exp3/trig/scatter/S0.15m-0.2.png,,20,scatter,0.01,0.03,-0.02,0.02,85
0.1,1,trig,0.8,data/Exp3/trig/line/S0.1m0.8.png,,20,line,-0.04,-0.04,0,0,87
0.1,1,trig,0.2,data/Exp3/trig/area/S0.1m0.2.png,,20,area,0.04,0.005,0.04,0.04,86
0.2,-1,quad,0.4,data/Exp3/quad/area/S0.2m-0.4.png,,20,area,-0.2,-0.24,0.04,0.04,88
0.1,-1,trig,0.1,data/Exp3/trig/area/S0.1m-0.1.png,,20,area,0.04,0.045,0,0,90
0.1,-1,line,0.2,data/Exp3/line/area/S0.1m-0.2.png,,20,area,-0.1,-0.12,0.02,0.02,91
0.2,-1,trig,0.2,data/Exp3/trig/scatter/S0.2m-0.2.png,,20,scatter,-0.04,-0.06,0.02,0.02,92
0.1,-1,trig,0.2,data/Exp3/trig/scatter/S0.1m-0.2.png,,20,scatter,0.19,0.175,0.02,0.02,93
0.05,-1,quad,0.1,data/Exp3/quad/scatter/S0.05m-0.1.png,,20,scatter,-0.02,-0.03,0.01,0.01,94
0.1,-1,quad,0.4,data/Exp3/quad/scatter/S0.1m-0.4.png,,20,scatter,-0.01,-0.035,0.03,0.03,95
0.15,1,line,0.1,data/Exp3/line/line/S0.15m0.1.png,,20,line,0.19,0.185,0.01,0.01,96
0.15,1,trig,0.2,data/Exp3/trig/scatter/S0.15m0.2.png,,20,scatter,0.25,0.24,0.01,0.01,97
0.15,1,line,0.2,data/Exp3/line/line/S0.15m0.2.png,,20,line,-0.18,-0.185,0.01,0.01,98
0.1,-1,line,0.1,data/Exp3/line/line/S0.1m-0.1.png,,20,line,0.15,0.165,-0.02,0.02,99
0.15,-1,quad,0.4,data/Exp3/quad/scatter/S0.15m-0.4.png,,21,scatter,-0.05,-0.065,0.01,0.01,0
0.05,-1,trig,0.2,data/Exp3/trig/scatter/S0.05m-0.2.png,,21,scatter,0.06,0.055,0,0,1
0.15,1,line,0.1,data/Exp3/line/line/S0.15m0.1.png,,21,line,0.23,0.215,0.02,0.02,2
0.2,1,trig,0.8,data/Exp3/trig/line/S0.2m0.8.png,,21,line,0.01,0.01,0,0,3
0.05,-1,trig,0.8,data/Exp3/trig/line/S0.05m-0.8.png,,21,line,-0.06,-0.065,0.01,0.01,4
0.2,1,trig,0.1,data/Exp3/trig/area/S0.2m0.1.png,,21,area,0.05,0.045,0.01,0.01,5
0.2,-1,quad,0.1,data/Exp3/quad/scatter/S0.2m-0.1.png,,21,scatter,0.16,0.175,-0.01,0.01,6
0.15,-1,line,0.8,data/Exp3/line/area/S0.15m-0.8.png,,21,area,0.03,-0.01,0.04,0.04,7
0.1,1,trig,0.1,data/Exp3/trig/area/S0.1m0.1.png,,21,area,-0.24,-0.27,0.03,0.03,8
0.2,-1,line,0.1,data/Exp3/line/area/S0.2m-0.1.png,,21,area,-0.04,-0.065,0.03,0.03,9
0.15,-1,line,0.8,data/Exp3/line/line/S0.15m-0.8.png,,21,line,-0.24,-0.215,-0.02,0.02,10
0.1,-1,line,0.1,data/Exp3/line/scatter/S0.1m-0.1.png,,21,scatter,-0.09,-0.08,-0.01,0.01,11
0.15,1,line,0.1,data/Exp3/line/area/S0.15m0.1.png,,21,area,0.1,0.075,0.03,0.03,12
0.1,-1,line,0.4,data/Exp3/line/scatter/S0.1m-0.4.png,,21,scatter,-0.08,-0.065,-0.01,0.01,13
0.2,1,line,0.8,data/Exp3/line/area/S0.2m0.8.png,,21,area,0.15,0.105,0.04,0.04,14
0.1,-1,quad,0.2,data/Exp3/quad/line/S0.1m-0.2.png,,21,line,-0.05,-0.035,-0.01,0.01,15
0.2,-1,quad,0.8,data/Exp3/quad/area/S0.2m-0.8.png,,21,area,0.21,0.1,0.11,0.11,16
0.1,1,quad,0.4,data/Exp3/quad/area/S0.1m0.4.png,,21,area,0.05,0.015,0.04,0.04,17
0.1,1,trig,0.8,data/Exp3/trig/scatter/S0.1m0.8.png,,21,scatter,0.24,0.255,-0.02,0.02,18
0.05,-1,quad,0.1,data/Exp3/quad/area/S0.05m-0.1.png,,21,area,0.02,0.015,0.01,0.01,19
0.2,1,line,0.2,data/Exp3/line/scatter/S0.2m0.2.png,,21,scatter,-0.17,-0.16,-0.01,0.01,20
0.05,1,trig,0.4,data/Exp3/trig/line/S0.05m0.4.png,,21,line,0.06,0.055,0,0,21
0.1,-1,line,0.2,data/Exp3/line/scatter/S0.1m-0.2.png,,21,scatter,0.12,0.13,-0.01,0.01,22
0.1,1,trig,0.2,data/Exp3/trig/line/S0.1m0.2.png,,21,line,0.18,0.16,0.02,0.02,23
0.05,-1,quad,0.8,data/Exp3/quad/area/S0.05m-0.8.png,,21,area,0.25,0.21,0.04,0.04,24
0.1,-1,line,0.4,data/Exp3/line/area/S0.1m-0.4.png,,21,area,-0.01,-0.03,0.02,0.02,25
0.2,1,quad,0.1,data/Exp3/quad/scatter/S0.2m0.1.png,,21,scatter,0.16,0.145,0.02,0.02,27
0.05,-1,trig,0.1,data/Exp3/trig/line/S0.05m-0.1.png,,21,line,0,-0.02,0.02,0.02,28
0.05,1,quad,0.4,data/Exp3/quad/scatter/S0.05m0.4.png,,21,scatter,0.06,0.055,0,0,29
0.1,1,quad,0.1,data/Exp3/quad/scatter/S0.1m0.1.png,,21,scatter,0.06,0.055,0,0,30
0.05,1,quad,0.1,data/Exp3/quad/area/S0.05m0.1.png,,21,area,0,0.005,-0.01,0.01,31
0.2,-1,trig,0.2,data/Exp3/trig/area/S0.2m-0.2.png,,21,area,0.13,0.09,0.04,0.04,32
0.05,-1,quad,0.2,data/Exp3/quad/area/S0.05m-0.2.png,,21,area,0.22,0.2,0.02,0.02,33
0.05,1,trig,0.1,data/Exp3/trig/scatter/S0.05m0.1.png,,21,scatter,-0.15,-0.135,-0.01,0.01,34
0.2,1,line,0.2,data/Exp3/line/line/S0.2m0.2.png,,21,line,0.1,0.105,0,0,35
0.15,1,trig,0.2,data/Exp3/trig/area/S0.15m0.2.png,,21,area,-0.1,-0.15,0.05,0.05,36
0.2,-1,line,0.2,data/Exp3/line/line/S0.2m-0.2.png,,21,line,-0.1,-0.105,0,0,37
0.05,1,quad,0.2,data/Exp3/quad/scatter/S0.05m0.2.png,,21,scatter,0.05,0.05,0,0,38
0.1,1,trig,0.4,data/Exp3/trig/scatter/S0.1m0.4.png,,21,scatter,0.04,0.055,-0.01,0.01,39
0.05,1,trig,0.2,data/Exp3/trig/line/S0.05m0.2.png,,21,line,-0.01,-0.01,0,0,40
0.1,-1,line,0.8,data/Exp3/line/area/S0.1m-0.8.png,,21,area,-0.19,-0.215,0.02,0.02,41
0.15,1,quad,0.8,data/Exp3/quad/area/S0.15m0.8.png,,21,area,0.18,0.155,0.02,0.02,43
0.1,1,line,0.8,data/Exp3/line/area/S0.1m0.8.png,,21,area,0.21,0.19,0.02,0.02,44
0.15,1,quad,0.2,data/Exp3/quad/scatter/S0.15m0.2.png,,21,scatter,0.09,0.105,-0.01,0.01,45
0.1,-1,quad,0.1,data/Exp3/quad/area/S0.1m-0.1.png,,21,area,-0.11,-0.105,-0.01,0.01,46
0.05,1,quad,0.4,data/Exp3/quad/area/S0.05m0.4.png,,21,area,0.03,0.015,0.01,0.01,47
0.2,1,trig,0.2,data/Exp3/trig/area/S0.2m0.2.png,,21,area,0.07,0.06,0.01,0.01,48
0.15,-1,quad,0.2,data/Exp3/quad/scatter/S0.15m-0.2.png,,21,scatter,-0.07,-0.05,-0.02,0.02,49
0.2,-1,trig,0.4,data/Exp3/trig/scatter/S0.2m-0.4.png,,21,scatter,0.21,0.195,0.01,0.01,50
0.05,-1,trig,0.4,data/Exp3/trig/scatter/S0.05m-0.4.png,,21,scatter,-0.07,-0.055,-0.02,0.02,51
0.15,-1,line,0.4,data/Exp3/line/line/S0.15m-0.4.png,,21,line,-0.12,-0.085,-0.03,0.03,52
0.15,1,line,0.1,data/Exp3/line/scatter/S0.15m0.1.png,,21,scatter,-0.01,0.015,-0.03,0.03,53
0.2,1,trig,0.8,data/Exp3/trig/scatter/S0.2m0.8.png,,21,scatter,0.15,0.135,0.01,0.01,55
0.15,1,trig,0.8,data/Exp3/trig/scatter/S0.15m0.8.png,,21,scatter,-0.02,0,-0.02,0.02,56
0.15,-1,trig,0.4,data/Exp3/trig/area/S0.15m-0.4.png,,21,area,0.1,0.09,0.01,0.01,57
0.15,-1,trig,0.1,data/Exp3/trig/area/S0.15m-0.1.png,,21,area,0.14,0.095,0.05,0.05,58
0.15,-1,trig,0.2,data/Exp3/trig/line/S0.15m-0.2.png,,21,line,0.07,0.025,0.05,0.05,59
0.15,-1,quad,0.1,data/Exp3/quad/scatter/S0.15m-0.1.png,,21,scatter,-0.19,-0.155,-0.04,0.04,60
0.2,-1,quad,0.4,data/Exp3/quad/area/S0.2m-0.4.png,,21,area,-0.03,-0.035,0.01,0.01,61
0.15,1,line,0.4,data/Exp3/line/line/S0.15m0.4.png,,21,line,-0.14,-0.155,0.01,0.01,62
0.2,-1,trig,0.2,data/Exp3/trig/scatter/S0.2m-0.2.png,,21,scatter,-0.2,-0.165,-0.04,0.04,63
0.1,-1,quad,0.8,data/Exp3/quad/scatter/S0.1m-0.8.png,,21,scatter,-0.08,-0.08,0,0,64
0.2,-1,quad,0.4,data/Exp3/quad/line/S0.2m-0.4.png,,21,line,0.24,0.265,-0.03,0.03,65
0.15,1,quad,0.4,data/Exp3/quad/area/S0.15m0.4.png,,21,area,0.09,0.06,0.03,0.03,66
0.2,-1,line,0.1,data/Exp3/line/line/S0.2m-0.1.png,,21,line,0.13,0.125,0.01,0.01,68
0.15,1,trig,0.4,data/Exp3/trig/scatter/S0.15m0.4.png,,21,scatter,-0.04,-0.02,-0.02,0.02,69
0.05,1,line,0.1,data/Exp3/line/line/S0.05m0.1.png,,21,line,-0.11,-0.11,0,0,70
