sigma,sign,type,m,src,isValidation,id,graphtype,answer,error,unsignedError,index
0.2,-1,quad,0.4,data/Exp2/quad/scatter/S0.2m-0.4.png,,1,scatter,-0.72,0.32,0.32,92
0.15,1,quad,0.8,data/Exp2/quad/line/S0.15m0.8.png,,1,line,1,-0.2,0.2,93
0.15,1,quad,0.1,data/Exp2/quad/scatter/S0.15m0.1.png,,1,scatter,-0.07,0.17,0.17,95
0.1,-1,trig,0.2,data/Exp2/trig/area/S0.1m-0.2.png,,1,area,-0.27,0.07,0.07,96
0.05,1,line,0.2,data/Exp2/line/area/S0.05m0.2.png,,1,area,0.22,-0.02,0.02,97
0.05,-1,line,0.1,data/Exp2/line/scatter/S0.05m-0.1.png,,1,scatter,-0.09,-0.01,0.01,98
0.05,-1,line,0.4,data/Exp2/line/scatter/S0.05m-0.4.png,,2,scatter,-0.48,0.08,0.08,0
0.1,1,trig,0.1,data/Exp2/trig/scatter/S0.1m0.1.png,,1,scatter,0.11,-0.01,0.01,99
0.1,1,trig,0.2,data/Exp2/trig/scatter/S0.1m0.2.png,,2,scatter,0.12,0.08,0.08,1
0.15,1,line,0.4,data/Exp2/line/line/S0.15m0.4.png,,2,line,0.59,-0.19,0.19,2
0.05,1,line,0.8,data/Exp2/line/area/S0.05m0.8.png,,2,area,0.94,-0.14,0.14,3
0.15,1,trig,0.1,data/Exp2/trig/scatter/S0.15m0.1.png,,2,scatter,0.03,0.07,0.07,4
0.2,-1,line,0.2,data/Exp2/line/scatter/S0.2m-0.2.png,,2,scatter,-0.51,0.31,0.31,5
0.15,-1,quad,0.8,data/Exp2/quad/line/S0.15m-0.8.png,,2,line,-1,0.2,0.2,6
0.2,1,quad,0.1,data/Exp2/quad/scatter/S0.2m0.1.png,,2,scatter,0.08,0.02,0.02,7
0.05,-1,trig,0.2,data/Exp2/trig/area/S0.05m-0.2.png,,2,area,-0.31,0.11,0.11,8
0.1,-1,line,0.4,data/Exp2/line/line/S0.1m-0.4.png,,2,line,-0.63,0.23,0.23,9
0.2,-1,quad,0.4,data/Exp2/quad/line/S0.2m-0.4.png,,2,line,-0.53,0.13,0.13,10
0.1,1,quad,0.4,data/Exp2/quad/line/S0.1m0.4.png,,2,line,0.42,-0.02,0.02,11
0.1,1,quad,0.2,data/Exp2/quad/area/S0.1m0.2.png,,2,area,0.22,-0.02,0.02,12
0.2,-1,quad,0.1,data/Exp2/quad/scatter/S0.2m-0.1.png,,2,scatter,0.08,-0.18,0.18,13
0.1,1,quad,0.1,data/Exp2/quad/line/S0.1m0.1.png,,2,line,0.23,-0.13,0.13,14
