sigma,sign,type,m,src,isValidation,id,graphtype,offset,outlierLoc,outlierNum,ix,iy,actualm,actualb,answer,error,unsignedError,errorActual,unsignedErrorActual,index
0.15,1,line,0.8,data/Exp4/line/area/S0.15m0.8ob5.png,,40,area,0,b,5,0.68767613,0.65014106,0.44676852,0.34290904,1,-0.2,0.2,-0.55,0.55,3
0.2,-1,line,0.4,data/Exp4/line/area/S0.2m-0.4oe10.png,,40,area,0,e,10,0.3026488,0.57894045,0.18654193,0.52248377,-0.27,-0.13,0.13,0.46,0.46,4
0.2,1,line,0.1,data/Exp4/line/area/S0.2m0.1oe5.png,,40,area,0,e,5,0.34142554,0.48414254,-0.16120452,0.5391819,0.14,-0.04,0.04,-0.3,0.3,5
0.05,-1,line,0.1,data/Exp4/line/area/S0.05m-0.1om0.png,,40,area,0,m,0,0,0,-0.1,0.45,-0.05,-0.05,0.05,-0.05,0.05,6
0.1,1,line,0.8,data/Exp4/line/line/S0.1m0.8om5.png,,40,line,0,m,5,1.0088905,0.90711266,0.70854723,0.1922661,0.86,-0.06,0.06,-0.15,0.15,8
0.1,-1,line,0.8,data/Exp4/line/area/S0.1m-0.8oe0.png,,40,area,0,e,0,0,0,-0.8,0.1,-0.87,0.07,0.07,0.07,0.07,7
0.15,-1,line,0.2,data/Exp4/line/area/S0.15m-0.2ob0.png,,40,area,0,b,0,0,0,-0.2,0.4,-0.1,-0.1,0.1,-0.1,0.1,9
0.05,-1,line,0.8,data/Exp4/line/area/S0.05m-0.8oe0.png,,40,area,0,e,0,0,0,-0.8,0.1,-0.8,0,0,0,0,10
0.1,1,line,0.2,data/Exp4/line/line/S0.1m0.2om0.png,,40,line,0,m,0,0,0,0.2,0.4,0.29,-0.09,0.09,-0.09,0.09,11
0.1,-1,line,0.1,data/Exp4/line/line/S0.1m-0.1om5.png,,40,line,0,m,5,0.9504121,0.45495883,-0.011953706,0.46631977,-0.04,-0.06,0.06,0.03,0.03,12
0.1,1,line,0.4,data/Exp4/line/line/S0.1m0.4om15.png,,40,line,0,m,15,0.98504263,0.6940173,0.12565441,0.5702423,0.56,-0.16,0.16,-0.43,0.43,13
0.2,1,line,0.8,data/Exp4/line/scatter/S0.2m0.8oe5.png,,40,scatter,0,e,5,0.33831674,0.37065345,0.46487206,0.21337946,0.59,0.21,0.21,-0.13,0.13,14
0.2,1,line,0.8,data/Exp4/line/scatter/S0.2m0.8oe10.png,,40,scatter,0,e,10,0.32052115,0.35641697,0.1444858,0.31010622,1,-0.2,0.2,-0.86,0.86,15
0.05,-1,line,0.1,data/Exp4/line/line/S0.05m-0.1oe15.png,,40,line,0,e,15,0.3003488,0.5199652,0.5553396,0.35316962,-0.1,0,0,0.66,0.66,16
0.2,1,line,0.4,data/Exp4/line/line/S0.2m0.4om5.png,,40,line,0,m,5,1.033569,0.7134277,0.30596673,0.39719,0.59,-0.19,0.19,-0.28,0.28,17
0.15,1,line,0.4,data/Exp4/line/scatter/S0.15m0.4om5.png,,40,scatter,0,m,5,1.0258924,0.71035695,0.30951223,0.39283073,0.55,-0.15,0.15,-0.24,0.24,18
0.2,-1,line,0.8,data/Exp4/line/area/S0.2m-0.8ob0.png,,40,area,0,b,0,0,0,-0.8,0.1,-0.44,-0.36,0.36,-0.36,0.36,19
0.15,-1,line,0.2,data/Exp4/line/line/S0.15m-0.2oe15.png,,40,line,0,e,15,0.2943092,0.5411381,0.4949136,0.39548048,-0.19,-0.01,0.01,0.68,0.68,20
0.2,1,line,0.1,data/Exp4/line/line/S0.2m0.1om15.png,,40,line,0,m,15,0.9977542,0.5497754,-0.15919754,0.7086154,-0.08,0.18,0.18,-0.08,0.08,21
0.15,1,line,0.2,data/Exp4/line/area/S0.15m0.2ob10.png,,40,area,0,b,10,0.6931533,0.5386306,-0.2896596,0.7394091,0.09,0.11,0.11,-0.38,0.38,22
0.05,-1,line,0.4,data/Exp4/line/area/S0.05m-0.4ob10.png,,40,area,0,b,10,0.6846724,0.42613107,0.13586377,0.33310887,-0.28,-0.12,0.12,0.42,0.42,23
0.05,-1,line,0.2,data/Exp4/line/area/S0.05m-0.2oe5.png,,40,area,0,e,5,0.31784537,0.5364309,0.05650135,0.5184722,-0.2,0,0,0.26,0.26,24
0.15,-1,line,0.4,data/Exp4/line/area/S0.15m-0.4ob15.png,,40,area,0,b,15,0.6924421,0.42302316,0.33689228,0.18974479,-0.17,-0.23,0.23,0.51,0.51,25
0.2,1,line,0.4,data/Exp4/line/scatter/S0.2m0.4ob5.png,,40,scatter,0,b,5,0.6963538,0.57854164,0.12808433,0.4893496,0.53,-0.13,0.13,-0.4,0.4,26
0.15,-1,line,0.1,data/Exp4/line/scatter/S0.15m-0.1oe0.png,,40,scatter,0,e,0,0,0,-0.1,0.45,-0.09,-0.01,0.01,-0.01,0.01,27
0.1,-1,line,0.2,data/Exp4/line/line/S0.1m-0.2om10.png,,40,line,0,m,10,0.98141533,0.40371692,-0.029327754,0.43249962,-0.17,-0.03,0.03,0.14,0.14,28
0.15,-1,line,0.4,data/Exp4/line/line/S0.15m-0.4oe0.png,,40,line,0,e,0,0,0,-0.4,0.3,-0.31,-0.09,0.09,-0.09,0.09,29
